# Graph Type: undirected
ACTN2	MYPN
TFAP2A	CITED2
TFAP2A	EP300
APOB	MTTP
ARRB2	RALGDS
PCBD1	CACNA1C
CAPN1	PSEN2
CA8	ITPR1
MCM5	MCM2
CDC7	MCM2
MCM2	DBF4
CDK2	CDKN3
RBL1	RBBP8
CCNB1	RALBP1
ARNT	SIM1
ZBTB16	HBEGF
ESR1	PPARGC1B
FGA	PRRC2A
SLC2A2	KPNA2
GNAO1	RGS19
FGF7	HSPG2
CCR10	PRRC2A
HTT	SETD2
HTT	HAP1
HTT	ZDHHC17
HTT	HYPK
HTT	TRIP10
TCF3	ID3
IGF1R	IRS1
SOCS1	IGF1R
IRS1	PTK2
IRS1	MAPK8
INSR	IRS1
PRMT5	JAK2
SOCS1	JAK2
KRT8	BYSL
LMNA	LMNB1
LYL1	NFKB1
ALOX5	COTL1
XRCC6	NCF4
MITF	LEF1
LOX	DHDDS
MCM7	DBF4
CDC7	MCM7
NEB	MYPN
NGFR	PRKACB
NPY1R	LSM7
NUMA1	EPB41L1
NFKB1	MAP3K8
AKT1	PLXNA1
ETS2	CDK10
CTTN	SHANK2
SOCS1	CSF1R
MET	GLMN
PAX5	TLE4
PPARA	NRBF2
PIK3CA	PIK3R3
APOA1	PDE1A
TRPC1	PKD2
PTPRB	MAGI3
MAPK1	NEK2
PDPK1	PRKCZ
PRKCZ	WWC1
RHOG	ARHGDIG
RAD51	RAD51AP1
ANK1	OBSCN
UNC13B	STX1A
SIVA1	CD27
TAL1	NCAPG2
TXN	NCF4
TCAP	TTN
E2F1	NDN
SRC	EPHB2
TNNT1	TNNC1
CDH1	CBLL1
BIN1	ITGA1
MEFV	COG5
AR	FLNA
BMX	PTPN21
ACTN3	MYPN
ARHGEF11	PLXNB3
TIMM8A	STAM
ARHGEF9	GPHN
FMR1	NUFIP1
POLA1	RBMS1
PDE6D	RPGR
AR	RAN
AR	NR2C2
AR	NCOA3
AR	RNF4
AR	NCOA4
AR	PAK6
AR	RANBP9
AR	RCHY1
PIAS2	AR
INSM1	SORBS1
YY1	YAF2
BCL2L1	AVEN
BCL2L1	RTN1
BAX	BCL2A1
PSTPIP1	PTPN12
PDE4D	PDE4DIP
HNF4A	CREBBP
TIAF1	JAK3
TLE1	HES6
TLE1	FOXA2
CENPF	CENPF
PTPN13	PKN2
HNF4A	ZNHIT3
BCAR1	RAPGEF1
MSC	ID2
NCBP2	NCBP1
YAP1	ERBB4
S100P	S100P
AP2M1	LY9
UGCG	RTN1
SERPINH1	UBQLN4
HAP1	NEUROD1
DAB2	MYO6
ARHGEF11	PLXNB1
BCL2A1	BOK
BCL2A1	BAD
PDZK1	ABCC2
CSPG4	GRIP2
ORC2	DBF4
CDC45	ORC2
BIN1	ITGA3
BCAR1	YWHAZ
MYBL2	ZNF622
MAD2L1	ESR2
EED	EZH2
KHDRBS1	RAPSN
PGR	UBE3A
LSM8	GTF2I
RFXAP	RFX5
PTK6	STAP2
TACC1	YEATS4
PEG10	SIAH1
SIAH2	PEG10
NEDD4	UBE2D2
DRAP1	TTF2
DNM2	SHANK2
CFTR	GOPC
IPCEF1	CYTH2
COPB2	RGS4
MAP2K5	MAP3K3
NCOA1	NR1H4
MCM3	MCM5
CDC45	MCM3
MCM3	DBF4
CDC7	MCM5
FYB1	SKAP1
CDC5L	TTF2
PPL	KAZN
TRIP6	LPAR2
E2F6	RYBP
TLR3	RNF216
FANCA	SMARCA4
ARHGEF7	SHANK2
BIRC5	AURKB
TRADD	TNFRSF25
ITGA3	RABIF
RIPK1	RIPK3
LSM7	MYH13
BCL10	MALT1
HUNK	RABEP1
HIC1	HIC1
PDZK1	SLC22A4
AKAP10	PDZK1
PDZK1IP1	PDZK1
TROAP	BYSL
AKAP9	TACC3
TNIP1	TTF2
DCP1A	TTF2
PDCD6IP	TTF2
PRDX4	TTF2
CLPB	TTF2
TTF2	TACC3
GADD45G	GADD45GIP1
PACSIN3	PACSIN2
NBL1	UBQLN1
URI1	DMAP1
FHL5	FHL5
MCL1	BOK
TLR9	RNF216
RAB11A	RAB11FIP4
ABI3BP	ABI3
IPO13	PAX6
CDC7	ORC6
LSM8	COL23A1
LSM8	DBF4
ECT2	PARD6A
LRPPRC	CECR2
RARA	NRBF2
RARA	ZBTB16
RARA	MECR
LOXL1	FBLN5
MT2A	PRKD1
NPR1	PRKG1
MT-ND2	SRC
PAWR	THAP1
CDC7	MCM4
CCNE1	CUL3
PDZD2	CTNND2
ARL6IP5	ARL6
PUM2	NANOS1
ARL6IP4	ARL6
ARL6IP1	ARL6
COPZ2	COPG1
CDC7	DBF4
NEBL	MYPN
PPP1CA	PHACTR3
ATL2	ARL6
ARL6IP6	ARL6
ECT2	KLHL20
CDK14	SEPTIN8
ANKRD23	MYPN
MAST2	CDHR2
C6orf47	FGFR3
CALCOCO2	TP53RK
LMO2	MAPRE2
EWSR1	PRTFDC1
TRIM29	CRACR2A
DCTD	LNX1
RBM10	PTBP2
GADD45G	RWDD2B
SULT1E1	ENOX1
LGALS8	CALCOCO2
DAZAP2	DCUN1D1
MDFI	DDX19A
MSC	EWSR1
PCBD1	NUDT18
EWSR1	SLC22A24
LDOC1	LNX1
MDFI	AASDHPPT
AGR2	POM121
AP5Z1	MDFI
NOL3	NOL3
LNX1	CUTC
FHL3	PHC2
